analysis_timestamp,open,high,low,close
2025-10-24 21:01:39+00:00,50053.95663652362,50058.736361526084,50031.545105248326,50035.28104691935
2025-10-25 07:13:02+00:00,50067.0635907501,50068.7934996286,50052.058419391324,50058.00314416734
2025-10-25 07:59:06+00:00,50110.96250283157,50121.89273955535,50107.096237944555,50119.57475968212
2025-10-25 08:15:45+00:00,50213.91851351502,50216.325920883886,50188.89846078306,50194.817863984026
2025-10-25 08:27:13+00:00,50234.67112609349,50245.05514487522,50221.37526490351,50237.351159803
2025-10-25 08:41:42+00:00,50238.47900636044,50238.79531633144,50227.422844780674,50230.45444240247
2025-10-25 08:49:10+00:00,50328.47428802825,50329.256820718074,50310.222315433326,50319.001768350514
2025-10-25 08:54:27+00:00,50345.422754903135,50348.133761015044,50343.16808259411,50346.97285583404
2025-10-25 09:07:28+00:00,50404.07641666759,50407.062997012414,50394.51556847544,50397.93562296413
2025-10-25 09:28:29+00:00,50467.434036754436,50468.62364540312,50449.91421605782,50458.21197003877
2025-10-25 09:39:22+00:00,50506.64512673477,50513.76543127969,50497.538324426634,50502.880871423215
2025-10-25 09:49:15+00:00,50568.09146223342,50581.55206955607,50565.82453321416,50579.08547013926
2025-10-25 09:57:43+00:00,50618.203136245,50620.91744362508,50611.7815664478,50615.22075450294
2025-10-25 10:17:29+00:00,50665.697359296726,50667.777609528035,50646.363113314386,50652.433500329855
2025-10-25 11:00:06+00:00,50701.931586057595,50714.658176814024,50699.72697289613,50708.87726465491
2025-10-25 13:02:27+00:00,50755.17714114421,50760.57947705604,50753.77536366829,50756.67348654749
2025-10-25 14:44:58+00:00,50825.53004594594,50837.35400418561,50823.70657822398,50829.88158146315
2025-10-25 14:49:32+00:00,50864.389472009476,50874.739397134545,50845.113315448325,50845.896834724685
2025-10-25 14:54:27+00:00,50912.984301603145,50915.11559525703,50903.36874654437,50906.26135403302
2025-10-25 15:00:05+00:00,50936.99270357638,50940.377243751536,50931.169812929,50932.91808521397
2025-10-25 15:04:18+00:00,50941.24104293887,50952.12738881108,50937.42032331934,50948.94020368332
2025-10-25 15:16:04+00:00,51068.464863821726,51070.45122289337,51055.8834145398,51063.072371908806
2025-10-25 15:27:00+00:00,51110.54539737062,51117.953126865126,51103.722738130105,51117.28872397719
2025-10-25 15:39:23+00:00,51135.475005174616,51136.96395957162,51131.70945366912,51135.15669959187
2025-10-25 15:48:13+00:00,51239.03663169596,51246.94015732499,51235.775163696286,51245.395092479754
2025-10-25 15:58:23+00:00,51227.67701945749,51236.05703848914,51218.30673994652,51220.912686508025
2025-10-25 16:21:34+00:00,51306.68107851218,51312.442736336096,51291.69982259525,51300.91517034603
2025-10-25 16:42:05+00:00,51344.1733354437,51351.65441595967,51341.7834654235,51346.256322999485
2025-10-25 16:53:03+00:00,51434.615651413784,51438.68247270981,51428.25730521713,51430.65558428717
2025-10-25 17:02:26+00:00,51468.456560310704,51486.719297037016,51465.35476881899,51479.387175398006
2025-10-25 17:24:03+00:00,51488.18637258688,51505.7042728962,51484.694086841344,51503.098948513936
2025-10-25 17:35:37+00:00,51561.95716740469,51564.83610725375,51557.544395946614,51557.56325039204
2025-10-25 17:45:03+00:00,51583.91102000112,51584.62078581772,51577.58504317683,51582.244285047396
2025-10-25 17:54:48+00:00,51616.73438500444,51618.331027090164,51608.68424571651,51610.38407063552
2025-10-25 18:14:26+00:00,51716.873204762116,51720.330898517466,51692.963346455464,51693.041757013474
2025-10-25 18:41:03+00:00,51762.571774251985,51766.04551997026,51752.322338540595,51753.12697938208
2025-10-25 18:53:24+00:00,51815.47759136011,51828.23380050687,51814.524323892205,51824.60581361455
